%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
208740000000,3069,208668000000,map,2.906765038789594,-5.827123218704129,0.09353924047650153
208800000000,3070,208736000000,map,2.9005231924882167,-5.839135815246783,0.09231657358254414
208880000000,3071,208804000000,map,2.8930119057306403,-5.853075503028401,0.08830255075328924
208936000000,3072,208868000000,map,2.886267388708168,-5.866082658577669,0.0856142408809511
209008000000,3073,208936000000,map,2.885275461476711,-5.8343996253169195,0.09914625318741727
209052000000,3074,209004000000,map,2.877049550774495,-5.847281861979777,0.09733726160483475
209148000000,3075,209068000000,map,2.869266227475114,-5.860310801640912,0.09612600473327232
209200000000,3076,209136000000,map,2.8614442707447107,-5.8717399348567385,0.09383881152414258
209308000000,3077,209204000000,map,2.849210283752075,-5.883629734460659,0.09088452867794167
209320000000,3078,209268000000,map,2.850856312383026,-5.853032599964661,0.10450800623383788
209412000000,3079,209336000000,map,2.8302181726194857,-5.9064635269286665,0.08645507274397862
209484000000,3080,209404000000,map,2.8200508044510513,-5.917529132697941,0.0852444166871319
209544000000,3081,209468000000,map,2.8099170904671262,-5.927991266683559,0.08296196402213785
209616000000,3082,209536000000,map,2.799851207741671,-5.937121699152195,0.07989079051239262
209664000000,3083,209604000000,map,2.798333975839908,-5.90376020011061,0.09637655828803976
209740000000,3084,209668000000,map,2.7891880062108143,-5.910904252932513,0.09662348366983475
209808000000,3085,209736000000,map,2.7793223305190193,-5.917007787763831,0.09686793030175905
209836000000,3086,209804000000,map,2.766864567443248,-5.923278077495998,0.09456525844066827
209936000000,3087,209868000000,map,2.759689480563485,-5.929574278304456,0.09290684415795353
210012000000,3088,209936000000,map,2.747340892955406,-5.936914810553611,0.09006120805477325
210068000000,3089,210004000000,map,2.7356793892298814,-5.944123083395779,0.08845493817111055
210160000000,3090,210068000000,map,2.7233825725100878,-5.950848616345075,0.08618789497583779
210208000000,3091,210136000000,map,2.7245141292801507,-5.9198320210458215,0.10018488577538504
210232000000,3092,210204000000,map,2.696376474163532,-5.962071464207137,0.08398869670825698
210328000000,3093,210268000000,map,2.683573024230878,-5.965622166444467,0.08358722592723683
210388000000,3094,210336000000,map,2.6862253429147955,-5.931892190460948,0.09827361125825462
210476000000,3095,210404000000,map,2.656822686241715,-5.971562871208923,0.08276288354608635
210544000000,3096,210468000000,map,2.6455726298279427,-5.973678935822524,0.08214087699414507
210568000000,3097,210536000000,map,2.6318534170188137,-5.975545494120065,0.08073364915433134
210680000000,3098,210604000000,map,2.6168523730984594,-5.977232695709029,0.07850852448702539
210712000000,3099,210668000000,map,2.6178812022875,-5.944203052506603,0.09372114419630073
210816000000,3100,210736000000,map,2.5909724667180107,-5.98185117048885,0.07711579449734324
210872000000,3101,210804000000,map,2.5928977407313707,-5.946259922701286,0.09240088013434122
210944000000,3102,210868000000,map,2.5832194059722515,-5.947289874138071,0.09120390465999711
211044000000,3103,210936000000,map,2.5695761077051906,-5.947764451913056,0.09107725688290874
211080000000,3104,211004000000,map,2.5347047387676467,-5.982019777434814,0.07429092504470192
211144000000,3105,211068000000,map,2.5233422156886434,-5.9822575662786335,0.07457357991458335
211168000000,3106,211136000000,map,2.5077268436578697,-5.981066465799364,0.07369323744224177
211276000000,3107,211204000000,map,2.5134801894999006,-5.945619969617247,0.08955268749721218
211328000000,3108,211268000000,map,2.480231680707946,-5.978989554258851,0.07561668213263834
211436000000,3109,211336000000,map,2.4886596044191585,-5.942814000269084,0.09401069117832961
211468000000,3110,211404000000,map,2.452214506023183,-5.972175811442935,0.07877208584864409
211572000000,3111,211468000000,map,2.441284926440912,-5.969891723065281,0.0819144102131229
211604000000,3112,211536000000,map,2.425936874523321,-5.96580600663139,0.08113146776452734
211680000000,3113,211604000000,map,2.410062936812109,-5.96254570105678,0.08106768286724553
211736000000,3114,211668000000,map,2.39716399023532,-5.9613644093029645,0.08304159443661563
